array_sum: 0.010083 s (10000000.0)
array_sum: 0.009585 s (10000000.0)
sum: 0.004677 s (10000000.0)
py_sum: 1.384787 s (10000000.0)
         106794 function calls (103729 primitive calls) in 1.730 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.001    0.000 typing.py:1804(__class_getitem__)
        1    0.000    0.000    0.025    0.025 numerictypes.py:1(<module>)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
    82/44    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
      351    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       19    0.000    0.000    0.001    0.000 ipaddress.py:1475(__init__)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
      388    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
        5    0.000    0.000    0.000    0.000 typing.py:2874(__new__)
       28    0.000    0.000    0.003    0.000 _parser.py:972(parse)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
      286    0.000    0.000    0.001    0.000 typing.py:694(<genexpr>)
      137    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      172    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
      480    0.000    0.000    0.000    0.000 typing.py:736(<genexpr>)
      263    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      523    0.000    0.000    0.000    0.000 typing.py:1365(__eq__)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.006    0.006 pickle.py:1(<module>)
       56    0.000    0.000    0.000    0.000 enum.py:1509(__and__)
       57    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.022    0.022 _type_aliases.py:1(<module>)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
       28    0.000    0.000    0.002    0.000 _compiler.py:571(_code)
    30/28    0.000    0.000    0.138    0.005 <frozen importlib._bootstrap_external>:1231(create_module)
      109    0.000    0.000    0.001    0.000 __init__.py:163(match)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1380(__getitem__)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      372    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      343    0.000    0.000    0.000    0.000 _parser.py:172(append)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      482    0.000    0.000    0.000    0.000 _parser.py:249(match)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
  277/219    0.000    0.000    0.000    0.000 typing.py:1371(__hash__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
      930    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
